עומר טייכר | מדריך וטכנאי מחשבים: (22:32) : דקה שיש ודקה אני מתחיל. 
עומר טייכר | מדריך וטכנאי מחשבים: (27:22) : שמגיעים מהחברה. איך נתב בנוי? הנתב בנוי משני חלקים. החלק הראשון שלו הוא החיבור הקווי. כמו שאתם יכולים לראות מצד שמאל החיבור הקווי הוא הוותיק יותר הוא היציב יותר הוא המהיר יותר הוא בעצם החיבור שהוא יכול להחזיק לנו את האינטרנט בצורה נהדרת בלי קימת הקלות. החלק הימני כמו שאתם יכולים לראות הוא ההלכות זה בעצם החלק בראוטר שמפיץ את האינטרנט לכל הבית ומה הבעיה בעצם שהחלק ההלכותי במכשירים שמספקים לנו חברות האינטרנט הוא לא איכותי. זה בדרך כלל ראוטרים או ישנים מאוד וגם אם הם חדשים הם לא מאוד איכותיים 
עומר טייכר | מדריך וטכנאי מחשבים: (28:11) : וכשהם מפיצים את האינטרנט בבית אנחנו נתקלים בהמון המון בעיות גם במידה שהם לא מאוד איכותיים וגם בגלל שהמון מכשירים מתחברים אליהם ונתב אחד קשה לו להחזיק המון מכשירים ואת כל הבית שלנו כי אנחנו משתמשים במחשבים מכמה חדרים במרחקים שונים ולא תמיד ראוטר אחד יכול להספיק לנו. 
עומר טייכר | מדריך וטכנאי מחשבים: (28:36) : אז איזה פתרון מספקים לנו חברות האינטרנט שהוא פתרון לא יעיל. מעריך טווח מה זה מעריך טווח? מעריך טווח לוקח את האות 
עומר טייכר | מדריך וטכנאי מחשבים: (28:47) : האלכותי של הראוטר 
עומר טייכר | מדריך וטכנאי מחשבים: (28:51) : ומפזר אותו בבית מעריך את 
עומר טייכר | מדריך וטכנאי מחשבים: (28:56) : האלכות מעריך את הטכנולוגיה האלכותית אבל מה הבעיה שאם האלכות שיוצא אם האינטרנט האלחוטי שיוצא מהרהוטר לא איכותי אז גם מה שנקבל במעריך טווח לא יהיה איכותי לא פתרנו את הבעיה לכן המון לקוחות שאני מגיע אליהם מראים לי את המעריך טווח שלהם ואומרים לי עומר כבר מיליון טכנאים של בזה כופרטנר רואות וכולי היו פה שום דבר לא עוזר זה לא עובד קנינו מערכת טווח קנינו זה שום דבר לא עובד אז מה בעצם הפתרון היעיל? הפתרון היעיל זה מערכת מש מערכת מש רואים אם מישהו כתב משהו? לא, מערכת מש יכולה לראות ככה 
עומר טייכר | מדריך וטכנאי מחשבים: (29:45) : של מערכות מש. 
עומר טייכר | מדריך וטכנאי מחשבים: (29:48) : בעצם מה היא מערכת מש? מערכת מש זה מערכת של שלושה ראוטרים אתם בעצם רואים שלושה חלקים וזה מכשירים חכמים מה זאת אומרת הם חכמים הם יודעים לדבר ביניהם. מה שהם מחוברים בבית הם יודעים לדבר ביניהם ככה שכל מקום בבית שאנחנו נלך עם המכשיר ההלכותי שלנו זה יכול להיות טאבלט, מחשב נייד, טלפון, כל דבר שמתחבר לאינטרנט הוא ידע להתחבר בדיוק לראוטר, למשע נכון שקרוב אליו שהמהירות שלו הכי גבוהה כרגע. לא חייב דווקא לקנות שני שלושה חלקים אפשר גם לקנות שני חלקים תלוי בגודל הבית בתים גדולים 
עומר טייכר | מדריך וטכנאי מחשבים: (30:32) : אני ממליץ על 
עומר טייכר | מדריך וטכנאי מחשבים: (30:35) : 120 מטר מרובה ומעלה שיקנו שלוש יחידות ובתים של דופלקסים ומעלה שיקנו שלוש יחידות בתים קטנים שלושה חדרים 80 מטר מרובה 75 מספיק גם שתי יחידות, לא צריך יותר. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:54) : משק אחד מתחבר לראוטר שלנו, אני אראה לכם. 
עומר טייכר | מדריך וטכנאי מחשבים: (30:58) : משק אחד מתחבר בצורה קווית לראוטר, ושארה, 
עומר טייכר | מדריך וטכנאי מחשבים: (31:03) : שני המשקים האחרים מתחברים לחשמל לא צריכים קו אינטרנט בשבילהם זה פתרון נהדר 
עומר טייכר | מדריך וטכנאי מחשבים: (31:11) : שעובד ופתרון יעיל אני ממליץ עליו לכולם 
עומר טייכר | מדריך וטכנאי מחשבים: (31:17) : הנושא הבא שאני רוצה לגעת בו הוא תקלות מטפסת. 
עומר טייכר | מדריך וטכנאי מחשבים: (31:21) : אני אעבור על כמה דברים שאני רוצה להראות לכם. אני קודם כל דבר שאני לומד אתכם הוא מתקלות של לקוחות שהספתי, תקלות שנפוצות. 
עומר טייכר | מדריך וטכנאי מחשבים: (31:33) : אז אני רוצה חמש שאלות שכדאי לכם לשאול שהמטפסת שלכם לא עובדת. 
עומר טייכר | מדריך וטכנאי מחשבים: (31:41) : השאלה הראשונה היא האם המטפסת מחוברת בתורת קינה לרשת? 
עומר טייכר | מדריך וטכנאי מחשבים: (31:47) : ודעו שהמטפסת מחוברת לאותה רשת וי-פיי שבה נמצא המחשב. זה חשוב שהמטפסת והמחשב יהיו מחוברים לאותו רשת. למה זה חשוב? כי אם למשל המטפסת מחוברת לווי-פיי ואנחנו בטעות מחוברים 
עומר טייכר | מדריך וטכנאי מחשבים: (32:04) : לאוטספוט של הטלפון או לרשת בטעות שהתחברנו לשכן ואנחנו רואים שאנחנו לא מצליחים להטפיס או שיש לנו ראוטר או שיש לנו איזה רשת נפרדת בבית שלנו אנחנו לא נוכל להטפיס 
עומר טייכר | מדריך וטכנאי מחשבים: (32:20) : במקרים מסוימים המחשב והמדפסת מחוברים לרשתות שונות, מה שעלול לגרום למניעה בהדפסה. השאלה השנייה שאתם צריכים לשאול, זה נשמע אולי בנאלי לפעמים השאלות האלה, כאילו, טוב ברור שאנחנו שואלים, אבל לא. אתם הרבה פעמים לא שואלים את השאלות האלה ולכן אתם לא מצליחים להדפיס האם החלפתם ספק אינטרנט לאחרונה או קיבלתם נתב חדש לפעמים יש לנו תקלות בנתבים כמו שהראיתי מקודם. מבקשים מהספק אינטרנט או מהחברה להחליף לנו. ואז הרשת ההלכותית היא חדשה ואני אגיד לכם יותר מזה. 
עומר טייכר | מדריך וטכנאי מחשבים: (32:56) : לפעמים אנחנו מחליפים ראוטר 
עומר טייכר | מדריך וטכנאי מחשבים: (33:01) : ושם הרשת נשאר אותו דבר. אם למשל 
עומר טייכר | מדריך וטכנאי מחשבים: (33:05) : שם הרשת שלנו היה ישראלי, והחליפו לנו נתב, הטכנאי נתן לנו שוב את השם ישראלי, אנחנו לא יכולים לעבוד על אותה רשת כבר, אנחנו צריכים להגדיר אותה מחדש, כי המספר שלה, זה נקרא מק אדרס, לא נפרט, המספר הסידורי שלה השתנה, ולכן אתם חייבים להגדיר אותה שוב מחדש במכשירים ובמטפסת 
עומר טייכר | מדריך וטכנאי מחשבים: (33:30) : אז במידה והחלפתם נתב או ספק אינטרנט? קשוב לוודא שהמטפסת מוגדרת מחדש עם ההגדרות של הרשת החדשה ניתן שתצטרכו לחבר את המטפסת מחדש לרשת הווי-פיי ולהזין סיסמאות חדשות 
עומר טייכר | מדריך וטכנאי מחשבים: (33:44) : שאלה שלישית האם ניתן לחבר את המטפסת בקבל רשת? זה שאלה מצוינת שאני ממליץ לכם להיות קשובים. אם התקשורת ההלכותית של המטפסת שלכם לא יציבה ואני רוצה להגיד על זה עוד משהו. ברגע שבדרך כלל, לא תמיד, מתחילות בעיות 
עומר טייכר | מדריך וטכנאי מחשבים: (34:05) : בהלכות של המטפסת, שהוא מתחיל להתנתק ולהתחבר, 
עומר טייכר | מדריך וטכנאי מחשבים: (34:10) : זה מתחיל להיות סוף החיבור הטוב של המטפסת שלנו. כי הרכיב של ההלכות של הוואי פיי במטפסת הוא לא חזק הוא לא איכותי ולכן שהוא מתקלקל ושהוא מתחיל לעשות בעיות זה מתכון לצרות אז אם יש לכם מטפסת שיש בה אפשרות לחבר להתחבר בקבל רשת ישירות אני תכף אביער אליכם איך עושים את זה זה עשוי להיות פתרון טוב יותר, הוא גם מספק מהירות והיציבות גדולה יותר בהשוואה לווי פיי. אני עובד עם המטפסת שלי שבע שנים בערך מחוברת לקבל לא הייתה לי תקלה אחת במטפסת אחת 
עומר טייכר | מדריך וטכנאי מחשבים: (34:55) : אז איך בעצם מחברים אותה? להלכות אתם רואים שמצד אחד אתם מחברים את הקאבל למטפסת זה קאבל רשת ומהצד השני אתם מחברים אותה לראוטר או למשהו שקרוב למטפסת זה יכול להיות גם המש שקרוב למטפסת דרך אגב אתם לא רשומים לי כלום בצ'אט אם אתם שומעים אותי והכל עובד תרשמו לי כן שאני יודע שאני לא מדבר לאוויר בסדר חשוב 
עומר טייכר | מדריך וטכנאי מחשבים: (35:28) : ואם יש לכם שאלות כמובן אז תשאלו כי זה חשוב לשאול שאלות אז מה קורה אם שום דבר לא עובד במדפסת אין לנו חיבור רשת אין לנו כי לא לכל המדפסות יש אין לנו חיבור והווי פיי לא עובד 
עומר טייכר | מדריך וטכנאי מחשבים: (35:47) : מה שעושים פשוט מחברים את המדפסת בקאבל 
עומר טייכר | מדריך וטכנאי מחשבים: (35:52) : מדפסת רגיל שקודים בעשרה שקלים מאייבורי או ksp או כל מקום אחר מחברים אותו ולצערנו לא נוכל להשתמש 
עומר טייכר | מדריך וטכנאי מחשבים: (36:01) : להדפיס מכל המכשירים 
עומר טייכר | מדריך וטכנאי מחשבים: (36:04) : במקביל כמו שאנחנו יכולים לעשות היום בהלכות להתפיס מהטלפון 
עומר טייכר | מדריך וטכנאי מחשבים: (36:09) : או מהטאבלט או מהמחשב הנייח נייד לא נוכל אבל החיבור הזה הוא מאוד מאוד יציבו 
עומר טייכר | מדריך וטכנאי מחשבים: (36:18) : והוא לא עושה בעיות. 
עומר טייכר | מדריך וטכנאי מחשבים: (36:20) : עוד שאלה שאני רוצה שתשאלו את עצמכם במידה והבעיה היא לא בווי פיי ולא באינטרנט אם המטפסת מוגדרת כברירת מחדל במחשב ואני אסביר מה זה ברירת מחדל ברירת מחדל זה האפשרות האוטומטית שהמחשב בוחר 
עומר טייכר | מדריך וטכנאי מחשבים: (36:37) : אני תכף אענע את זה האפשרות האוטומטית שהמחשב בוחר כאשר אתם שולחים מטפסה בימידה שהמטפסת לא מוגדרת כברירת מחדל אתם פתאום יקפוץ לכם לשמור אותו כPDF או יכול להיות שזה יתפיס במטפסת אחרת שהייתה לכם פעם לפני המטפסת הנוכחית ופתאום אתם תגלו שאתם לא מצליחים לשלוח מסמכים וזה לא דבר טוב. איך ניתן לדעת אם המטפסת היא אלכותית או רק ישירות למחשב? זה תלוי בכל מטפסת ערז. 
עומר טייכר | מדריך וטכנאי מחשבים: (37:10) : יש לך את הדגם של המטפסת על המטפסת את השם שלה. אתה יכול לכתוב אותה בגוגל ולראות את המפרץ שלה אם אתה רואה במפרץ שכתוב אתרנט אתה יכול לדעת שהיא מתחברת לקבל רשת ולמה זה חשוב כי לפעמים כשאנחנו מסתכלים מאחורי המטפסת אנחנו לא יכולים בוודאות לראות שהיא מתחברת לרשת כי לפעמים יש איזה פלסטיק שיושב על החלק הזה והוא חושם 
עומר טייכר | מדריך וטכנאי מחשבים: (37:39) : את המקום של החיבור ואנחנו לא נוכל לדעת. לכן אם אנחנו נחפש את הדגם של המטפסת בגוגל, נוכל לדעת בוודאות שהמטפסת מסוגלת להתחבר בקבל רשת מי שיש לו את האפשרות הזאת שלא ישלט עצמו פעמיים אם כדאי פשוט לחבר 
עומר טייכר | מדריך וטכנאי מחשבים: (37:56) : שאלה בנאלית אבל למורות זאת אני חושב שזה חשוב לשאול אותה האם יש ניאר ודיום המטפסת תבדקו אם יש ניאר ודיום המטפסת בנוסף שימו לב אם יש הודעות שגיאה למסך של המטפסת אם נתקן ניאר אם יש בעיות במחסניות או כל הודעות אחרות 
עומר טייכר | מדריך וטכנאי מחשבים: (38:16) : בוא נראה עוד שאלה 
עומר טייכר | מדריך וטכנאי מחשבים: (38:18) : אני משתמשת בלפטופ מחוץ לבית במקומות בין nwifi ברשת מודם סלולרי שמחובר אגרות ללפטופ. אינטרנט גרוע עם הרבה ניתוקים, איך ביקשנו את התאגרו באמצעות המודם הסלולרי? זאת שאלה אחרת, היא לא קשורה לנושא שלנו היום. את יכולה לפנות אליי באופן פרטי ולעבוד על זה יש כל מיני מודמים סלולריים יותר איכותיים אולי הבעיה היא בספק הסלולר 
עומר טייכר | מדריך וטכנאי מחשבים: (38:42) : זה יכול להיות נובע מכמה דברים הנושא הבא שאני רוצה לדבר עליו אני אעשה אותו בהדגמה חיה הוא ספייסי. ספייסי זו תוכנה שדרכה אנחנו יכולים לראות אני בדיוק כמו אצל הרופא שמראה לנו מה קורה בתוך הגוף פה אתם רואים רופא של בינה מלאכותית 
עומר טייכר | מדריך וטכנאי מחשבים: (39:03) : ספייסי נותנת לנו תמונה ברורה של מה שקורה מתחת למכסה המנוע של המחשבו. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:10) : אז אני אצא מהמצגת, 
עומר טייכר | מדריך וטכנאי מחשבים: (39:23) : ואני אפתח את הספסי. ואני אפתח ואני אפתח את ה-spacy 
עומר טייכר | מדריך וטכנאי מחשבים: (39:28) : אני אעבור על כל חלקי המחשב ובמקביל אני אסביר 
עומר טייכר | מדריך וטכנאי מחשבים: (39:33) : על כל חלק השאלות הנפוצות שלו. 
עומר טייכר | מדריך וטכנאי מחשבים: (39:38) : אני אפתח רגע את התמונות. 
עומר טייכר | מדריך וטכנאי מחשבים: (40:00) : אז הדבר הראשון שאני רוצה לדבר עליו הוא מערכת ההפלה. אין יותר מדי מה לדבר על זה. אני רק רוצה להגיד בקצרה שמי שיש לו מערכת הפלה ווינדוס 10 ועדיין מתלבט לשדרג אותה ל11 בדיוק בשתי מילים. 
עומר טייכר | מדריך וטכנאי מחשבים: (40:16) : ברור שכדאי לשדרג עוד שנה בערך באוקטובר 2025 
עומר טייכר | מדריך וטכנאי מחשבים: (40:21) : נגמרת התמיכה לוינדוס 10 מי שמחפש לבנות על ווינדוס 10 לעולמים לא ממליץ עוד שנה נגמרת התמיכה ומה זה אומר? כל מיני עדכוני הבטחה נגד פריצות למחשב אתם לא תקבלו עדכונים של דרייברים של כל מיני עדכנים בתוך המחשב שמשדרגים לכם את היכולות שלהם לא יעבדו ולכן מומלץ כבר כמה שיותר מהר לשדרג לוינדוס 11 אני אגיד שאפשר לשדרג לוינדוס 11 רק מחשבים עם מאבדים מידור 8 ומעלה ועל זה אני אדבר עכשיו 
עומר טייכר | מדריך וטכנאי מחשבים: (41:01) : אז עכשיו אנחנו נדבר על המאבד 
עומר טייכר | מדריך וטכנאי מחשבים: (41:06) : אני רוצה להראות לכם כמה דברים על המעבד. יש לנו כמה סוגי מעבדים אני מניח שרובכם יודעים קוראי 3, קוראי 5, קוראי 7. קוראי 7 הכי חזק, איי 3 הכי חלש. אני ממליץ מי שקונה מחשב חדש לא לקנות עם i3 רק עם i5 וi7. I5 זה בדרך כלל למשימות יותר ביתיות, אופיס, אינטרנט, משימות כאלה. Core i7 זה לעריכות גרפיות 
עומר טייכר | מדריך וטכנאי מחשבים: (41:36) : ועבודה עם תמונות, פוטושופ, דברים כאלה. יש גם i9. פחות נפוץ במחשבים ביתיים, מהניסיון שלי. 
עומר טייכר | מדריך וטכנאי מחשבים: (41:46) : הדבר השני שאני רוצה לדבר עליו הוא דור המאבד. תסתכלו, הספרה הראשונה 
עומר טייכר | מדריך וטכנאי מחשבים: (41:51) : בשרשרת הספרות היא דור המאבד. היום אנחנו כמעט בדור 15 והמאבד שלי הוא דור 8. זאת אומרת שלמאבד שלי יש 7 שנים. זאת אומרת שהמחשב שלי כנראה בן 7 ולמה אני אומר כנראה כי לפעמים אנחנו קונים מחשבים עם דור קודם נגיד אם אנחנו היום דור כמעט 15 אנחנו נקנה עם דור 12 כדי לחצוך בכסף ואני אסביר למה זה לא כדאי במיוחד במחשבים נעדים. במחשבים נעדים לא מומלץ לקנות מחשב עם דור קודם למה? כי ככל שמתקדם את הטכנולוגיה והדורות הרכיבים המעבדים הם חסכוניים בחשמל ואז למה אנחנו קוראים בו עכשיו נייד? שיהיה נייד ואז ככה שהמעבד הוא דור חדש יותר הסוללה תחזיק לזמן ארוך יותר ולכן זה משתנה. במחשבים נייחים זה פחות קריטי כי המהירויות שלהם הם די זהות 
עומר טייכר | מדריך וטכנאי מחשבים: (42:54) : עכשיו אני אעבור 
עומר טייכר | מדריך וטכנאי מחשבים: (42:58) : לזיכרון 
עומר טייכר | מדריך וטכנאי מחשבים: (43:02) : אתם יכולים לראות שלי יש 16 ג'יגה במחשב 
עומר טייכר | מדריך וטכנאי מחשבים: (43:07) : ומה בכלל עוזר לנו הרבה זיכרון מה בכלל נותן לנו זיכרון משפר את היכולת של המחשב לטעון תוכנות במהירות 
עומר טייכר | מדריך וטכנאי מחשבים: (43:18) : לפתוח כמה שיותר תוכנות במקביל 
עומר טייכר | מדריך וטכנאי מחשבים: (43:22) : ויש הרבה אנשים פה בקהל שעובדים עם אין סוף כרטיסיות בחרום. אני מניח שלחלקכם תחייכו, תצחקו כי אני רואה את זה כל יום. אנשים עובדים עם טונות של כרטיסיות והכרטיסיות האלה זוללות זיכרון כמו שאתם לא יודעים, כאילו אנשים פותחים כרטיסיות ולא מבינים למה המחשב שלהם לא עובד 
עומר טייכר | מדריך וטכנאי מחשבים: (43:45) : למה עוכב שלהם לא עובד? כי הכניסיות האלה זוללות זיכרון בסוף ההרצאה אני אלמד אתכם איך תדעו מתי אתם צריכים לשדרג את הזיכרון שלכם מתי למשל יש לכם 8 וכדאי לשדרג אותו ל16 או יש לכם 16 ל32 וכולי אני אראה לכם את זה בסוף 
עומר טייכר | מדריך וטכנאי מחשבים: (44:06) : דבר ראשון דבר נוסף שאני רוצה להגיד מי שקונה מחשב חדש זה יכול להיות מחשב נייד 
עומר טייכר | מדריך וטכנאי מחשבים: (44:13) : מה זאת אומרת זה זמני? כן זה זמני אבל תכף אני בהמשך אני אספר למה זה זמני וקבוע במקביל זה לא בדיוק זמני 
עומר טייכר | מדריך וטכנאי מחשבים: (44:22) : זה נכון שזה זמני אבל ברגע שהמחשב טוען כל הזמן תוכנות מההפעלה זה הופך להיות קבוע 
עומר טייכר | מדריך וטכנאי מחשבים: (44:30) : אז מי שקונה מחשב חדש נייך או נייד עדיף לקנות לפחות עם 16 ג'יגה זיכרון מי שאין לו תקציב לא פחות משמונה, גם לא נראה לי שהם אוכלים פחות משמונה אבל לפרשים קטנים לא הייתי מבטר ממש לא 
עומר טייכר | מדריך וטכנאי מחשבים: (44:47) : הנושא הבא שאני רוצה לדבר עליו הוא כרטיס גרפי. ללוחכם אנחנו נגיע בסוף. 
עומר טייכר | מדריך וטכנאי מחשבים: (44:56) : ולמה אני רוצה לדבר אתכם על הכרטיס הגרפי? בשני סיבות. קודם כל 
עומר טייכר | מדריך וטכנאי מחשבים: (45:03) : כבר שאנחנו יודעים 
עומר טייכר | מדריך וטכנאי מחשבים: (45:05) : את השם של הקרטיס גרפי שלנו אני אסמן לכם פה את הקרטיס שלי 
עומר טייכר | מדריך וטכנאי מחשבים: (45:11) : אתם רואים אותו. כבר שאנחנו יודעים את דגם הקרטיס אנחנו יכולים לחפש אותו בגוגל ולמצוא עדכנים דרייברים 
עומר טייכר | מדריך וטכנאי מחשבים: (45:20) : מעודכנים לקרטיס שלנו. יש כל מיני תוכנות שמעדכנות אוטומטית לקרטיס ולמה זה חשוב? זה נותן לנו אפשרויות חדשות של תצוגה זה משפר את התצוגה שלנו את המהירות שבה המערכת הפעלה שלנו עובדת את הרזולוציה זה משפר המון המון דברים במערכת לא כדאי לפספס את ההתכונים לקרטיס המסך. דבר שני 
עומר טייכר | מדריך וטכנאי מחשבים: (45:43) : משחקים לילדים המון הורים מתקשרים אליי כל שבוע לשאול אותי איזה מחשב או איזה כרטיס מסך לקנות לילדים כי הם רוצים לשחק פורטנייט והם רוצים לשחק מיינקראפט או הנכדים אנשים פה מבוגרים יותר שיש להם נכדים והנכדים רוצים מתנה רוצים מתנה כרטיס מסך שישכלו לשחק כמו החברים שלהם אתם יודעים שהקנאה והגיל הזה היא סופר דופר שיש חבר שיש לו איזה כרטיס כל הילדים רוצים 
עומר טייכר | מדריך וטכנאי מחשבים: (46:14) : אז מה אני רוצה להגיד בהקשר הזה אין גבול 
עומר טייכר | מדריך וטכנאי מחשבים: (46:19) : לעוצמה של כרטיסי המסך אין פה כרטיס מסך שאני יכול להגיד תקנו אותו אל תקנו אחר ככל שהתקציב שלכם עצוב להגיד את זה אבל ככה זה ככל שהתקציב שלכם גדול יותר ככה כרטיס מסך יהיה חזק יותר וככה הילד יראה את המשחקים טוב יותר אין אפס בדבר הזה 
עומר טייכר | מדריך וטכנאי מחשבים: (46:44) : אז הרכיב הבא שאני רוצה להתעכב עליו זה דיסק קשיח 
עומר טייכר | מדריך וטכנאי מחשבים: (46:49) : ויש לנו שלושה סוגים של דיסק קשיח HDD שעליו אני אדבר תכף SSD ו NVMe 
עומר טייכר | מדריך וטכנאי מחשבים: (46:58) : אז הקונן הראשון שאני רוצה לדבר עליו הוא hdd ואני אתאר לכם איך הוא עובד בסרטון תראו את החתול החמוד הזה בסרטון מטפס על הפאטיפון אני אעצור אותו ואני אסביר לכם. הדיסקים הקשיחים הישנים עובדים כמו פאטיפון יש להם מאחת ודיסק והמאחת כותבת את המידע וקוראת את המידע כל הזמן מהדיסק מה קורה? במהלך הזמן הדיסק הזה נשחק כי המחט כל הזמן עובדת על הדיסק. כשהדיסק הזה נשחק אין מה לעשות חוץ מלהחליף אותו. זאת אומרת שאתם תוכלו למחוא קבצים או לפרמט את המחשב שלכם או כל דבר אחר תקפצו על רגל אחת לא משנה מה תעשו לא יעזור שהדיסק שחוק הדיסק שחוק וצריכים להחליף אותו לכן אם ההחתפלה שלכם איטית ורוב המחשבים היו עם SSD אז אני לא מדבר פה על כמויות של מחשבים אבל אם אתם מחשבים האלה שעובדים לאט ואתם מפנים מקום וזה לא עובד מה שאתם עושים לא עובד זאת אומרת שהדיסק שלכם שחוק ואתם חייבים להחליף אותו 
עומר טייכר | מדריך וטכנאי מחשבים: (48:14) : אז הקונן הבא שאני רוצה לדבר עליו זה SSD 
עומר טייכר | מדריך וטכנאי מחשבים: (48:21) : SSD מה שאני רוצה להגיד עליו זה שני דברים הדבר הראשון הוא רגיש מאוד למקום זאת אומרת שדיסק SSD אתם צריכים לשמור ושוב אל תיבעלו אתם צריכים לשמור לפחות על 20% 
